income,debt_ratio,history_years,defaults,age,protected,approved_historical,approved_merit_only
44.15,0.1,5.41,1.0,46.97,0.0,0,0
23.45,0.13,7.24,0.0,38.2,0.0,1,1
42.21,0.4,19.3,0.0,28.2,0.0,1,1
18.67,0.5,18.42,0.0,41.56,1.0,0,0
13.51,0.07,14.48,1.0,52.86,1.0,0,0
35.49,0.3,5.93,1.0,51.35,0.0,0,0
40.94,0.22,11.19,1.0,47.89,1.0,0,0
22.07,0.48,5.09,0.0,27.53,0.0,0,0
40.36,0.44,26.77,0.0,33.77,0.0,1,1
22.13,0.11,5.4,0.0,52.23,0.0,1,1
22.79,0.15,14.68,0.0,25.48,0.0,1,1
34.7,0.46,7.18,0.0,54.72,0.0,0,0
23.66,0.13,7.1,0.0,30.83,1.0,0,1
12.99,0.16,9.11,1.0,55.3,1.0,0,0
47.73,0.19,5.04,0.0,18.0,0.0,1,1
32.62,0.52,8.54,0.0,53.08,1.0,0,0
19.56,0.35,3.92,0.0,30.77,1.0,0,0
25.01,0.35,8.73,0.0,39.07,1.0,0,0
88.59,0.62,16.45,0.0,60.65,0.0,1,1
28.65,0.3,17.27,0.0,44.38,1.0,0,1
16.15,0.18,9.23,1.0,34.62,1.0,0,0
25.04,0.1,13.16,0.0,44.46,0.0,1,1
31.37,0.39,16.78,1.0,29.17,0.0,0,0
67.98,0.28,6.35,0.0,46.97,0.0,1,1
71.85,0.24,3.37,1.0,45.08,1.0,0,0
67.52,0.19,14.46,0.0,26.75,0.0,1,1
72.79,0.51,6.29,1.0,47.96,0.0,0,0
85.28,0.23,2.09,0.0,24.34,0.0,1,1
40.4,0.5,8.45,2.0,31.09,0.0,0,0
56.95,0.36,9.08,0.0,32.46,0.0,1,1
21.88,0.44,10.89,0.0,50.89,0.0,0,0
22.81,0.39,9.42,1.0,26.96,0.0,0,0
31.31,0.36,30.41,1.0,35.42,0.0,1,1
39.45,0.28,13.33,0.0,37.11,1.0,0,1
14.96,0.44,11.37,1.0,43.2,0.0,0,0
21.86,0.45,7.8,0.0,56.35,1.0,0,0
37.67,0.48,9.28,0.0,31.75,0.0,0,0
18.03,0.22,7.8,1.0,44.72,0.0,0,0
40.95,0.68,17.44,1.0,42.75,1.0,0,0
50.73,0.09,5.56,0.0,44.27,0.0,1,1
29.2,0.54,3.77,1.0,37.35,0.0,0,0
25.35,0.47,7.42,0.0,34.58,0.0,0,0
38.76,0.19,4.86,1.0,43.2,0.0,0,0
36.18,0.54,3.12,1.0,38.94,0.0,0,0
24.09,0.12,13.26,0.0,55.55,1.0,0,1
28.88,0.38,9.73,0.0,54.74,1.0,0,0
20.75,0.1,5.48,0.0,37.55,1.0,0,1
24.14,0.09,5.62,0.0,32.01,0.0,1,1
15.01,0.12,14.46,0.0,18.0,0.0,1,1
32.28,0.45,8.66,0.0,61.67,1.0,0,0
18.97,0.38,5.64,2.0,34.97,1.0,0,0
30.04,0.44,9.85,0.0,41.7,0.0,0,0
47.68,0.36,3.19,0.0,58.32,0.0,0,0
43.61,0.48,15.69,0.0,28.64,0.0,0,0
47.33,0.07,12.78,0.0,42.7,0.0,1,1
36.98,0.37,8.59,0.0,47.02,0.0,0,0
38.58,0.37,3.13,0.0,40.86,0.0,0,0
36.8,0.24,6.66,1.0,41.86,0.0,0,0
61.56,0.12,11.44,1.0,27.89,0.0,1,1
54.85,0.41,4.61,1.0,29.41,1.0,0,0
51.2,0.18,10.21,0.0,40.74,0.0,1,1
28.69,0.51,5.18,1.0,54.24,0.0,0,0
48.72,0.19,2.67,0.0,22.61,0.0,1,1
56.11,0.21,4.38,0.0,23.28,0.0,1,1
13.65,0.32,15.54,0.0,34.11,1.0,0,0
35.37,0.52,6.53,2.0,49.29,1.0,0,0
19.19,0.34,11.8,2.0,30.57,0.0,0,0
80.9,0.34,4.14,0.0,65.41,0.0,1,1
27.08,0.29,5.16,0.0,66.02,0.0,0,0
24.44,0.58,13.94,1.0,32.07,1.0,0,0
43.05,0.36,9.31,0.0,57.95,1.0,0,1
25.94,0.34,5.17,1.0,26.49,0.0,0,0
29.98,0.24,16.02,0.0,43.09,1.0,0,1
26.82,0.43,11.31,0.0,47.69,1.0,0,0
41.73,0.32,5.23,0.0,48.19,0.0,0,0
57.0,0.32,4.17,1.0,46.67,1.0,0,0
22.51,0.28,4.34,0.0,39.72,0.0,0,0
37.32,0.31,10.37,0.0,28.58,1.0,0,1
42.66,0.47,6.05,0.0,23.86,1.0,0,0
33.4,0.36,6.7,0.0,54.53,0.0,0,0
60.81,0.09,9.99,0.0,44.02,0.0,1,1
62.68,0.31,18.64,0.0,35.7,0.0,1,1
56.71,0.19,3.42,1.0,21.75,0.0,0,0
40.05,0.44,4.42,0.0,63.23,1.0,0,0
27.84,0.34,26.68,0.0,38.57,1.0,0,1
70.62,0.38,3.46,2.0,40.71,0.0,0,0
38.63,0.27,11.63,0.0,47.62,1.0,0,1
50.24,0.63,3.48,0.0,41.17,1.0,0,0
57.2,0.28,4.56,3.0,56.95,0.0,0,0
34.3,0.45,2.49,0.0,54.67,0.0,0,0
23.89,0.4,8.4,0.0,47.88,1.0,0,0
41.5,0.35,3.04,1.0,45.9,0.0,0,0
27.34,0.28,10.72,0.0,54.46,0.0,1,1
32.79,0.33,13.88,0.0,35.38,0.0,1,1
17.54,0.18,5.78,1.0,60.01,1.0,0,0
48.26,0.55,7.84,0.0,60.33,0.0,0,0
53.29,0.28,8.07,0.0,42.78,0.0,1,1
47.36,0.09,17.01,0.0,26.62,0.0,1,1
16.87,0.31,6.06,0.0,59.84,1.0,0,0
31.51,0.12,14.52,0.0,32.19,0.0,1,1
17.78,0.11,10.73,0.0,54.77,1.0,0,1
10.14,0.24,16.53,0.0,48.55,0.0,1,1
106.82,0.26,9.04,1.0,49.55,0.0,1,1
58.73,0.18,4.99,1.0,38.84,0.0,0,0
29.32,0.14,14.32,0.0,31.09,0.0,1,1
29.07,0.28,3.75,0.0,36.96,0.0,0,0
35.65,0.39,12.23,0.0,35.15,0.0,0,0
39.87,0.25,14.58,1.0,24.58,0.0,0,0
75.12,0.21,19.75,0.0,26.47,0.0,1,1
60.09,0.08,2.8,0.0,56.92,0.0,1,1
19.15,0.46,3.45,0.0,36.87,1.0,0,0
39.36,0.03,9.13,1.0,31.7,0.0,1,1
47.23,0.22,2.03,1.0,43.99,0.0,0,0
37.88,0.17,12.02,0.0,44.94,0.0,1,1
45.43,0.23,3.18,2.0,51.46,0.0,0,0
27.61,0.27,3.54,0.0,30.39,1.0,0,0
20.57,0.33,6.36,1.0,44.7,1.0,0,0
72.01,0.36,4.43,1.0,48.54,0.0,1,1
28.31,0.42,3.56,0.0,59.68,1.0,0,0
17.1,0.09,8.03,0.0,20.72,0.0,1,1
24.91,0.34,7.2,0.0,40.51,1.0,0,0
20.56,0.1,5.66,0.0,18.28,0.0,1,1
37.2,0.44,17.48,1.0,37.11,1.0,0,0
57.42,0.11,13.69,0.0,56.71,0.0,1,1
18.59,0.25,8.8,0.0,59.23,1.0,0,0
36.81,0.1,2.31,0.0,53.04,0.0,1,1
24.68,0.14,3.45,0.0,34.37,1.0,0,1
70.88,0.17,9.0,0.0,27.6,0.0,1,1
40.8,0.59,9.51,2.0,55.99,0.0,0,0
40.44,0.24,18.97,0.0,35.13,1.0,1,1
47.87,0.24,6.87,0.0,42.9,0.0,1,1
51.06,0.4,12.38,1.0,21.3,0.0,0,0
28.71,0.23,22.5,0.0,66.25,0.0,1,1
32.28,0.21,2.09,0.0,20.24,1.0,0,1
61.88,0.23,2.01,1.0,52.31,0.0,0,0
16.3,0.12,9.16,1.0,32.86,1.0,0,0
23.46,0.23,10.46,1.0,25.45,0.0,0,0
29.04,0.3,15.75,1.0,41.78,1.0,0,0
55.85,0.31,8.49,0.0,56.57,1.0,0,1
17.99,0.15,18.73,0.0,37.11,1.0,0,1
36.78,0.37,8.06,0.0,66.48,0.0,0,0
15.44,0.23,8.48,0.0,31.89,0.0,0,0
59.14,0.03,13.54,0.0,51.79,0.0,1,1
52.55,0.19,10.9,2.0,48.25,1.0,0,0
46.89,0.19,8.23,0.0,36.2,0.0,1,1
23.3,0.45,12.04,1.0,36.91,1.0,0,0
42.18,0.27,4.64,1.0,27.91,1.0,0,0
43.25,0.35,3.5,1.0,27.52,0.0,0,0
18.31,0.06,7.91,0.0,43.1,1.0,0,1
21.22,0.13,10.62,1.0,50.22,0.0,0,0
23.02,0.13,4.94,1.0,40.61,0.0,0,0
15.15,0.58,11.46,1.0,59.42,1.0,0,0
46.04,0.22,5.45,0.0,40.4,0.0,1,1
43.63,0.09,24.0,0.0,22.48,1.0,1,1
14.91,0.33,7.65,0.0,64.24,1.0,0,0
56.63,0.36,14.27,0.0,25.12,0.0,1,1
33.13,0.49,2.87,3.0,38.52,0.0,0,0
19.88,0.37,4.95,0.0,38.89,1.0,0,0
28.82,0.47,4.3,1.0,52.75,0.0,0,0
40.79,0.38,21.41,0.0,56.75,1.0,0,1
36.15,0.06,8.81,0.0,18.0,0.0,1,1
33.18,0.52,6.81,0.0,34.79,1.0,0,0
28.69,0.14,3.91,0.0,28.74,0.0,1,1
26.61,0.18,16.14,1.0,49.75,0.0,0,0
17.15,0.41,3.32,0.0,45.25,1.0,0,0
30.49,0.08,8.7,0.0,60.77,0.0,1,1
19.87,0.13,12.4,0.0,33.79,0.0,1,1
51.06,0.15,4.93,0.0,47.65,0.0,1,1
32.31,0.11,5.33,0.0,46.18,1.0,0,1
24.77,0.3,6.34,0.0,42.57,1.0,0,0
19.21,0.6,7.27,0.0,52.31,1.0,0,0
11.7,0.25,12.53,1.0,52.25,1.0,0,0
21.44,0.25,13.21,0.0,55.95,1.0,0,1
18.51,0.4,4.71,1.0,50.12,0.0,0,0
34.04,0.5,20.54,2.0,46.41,1.0,0,0
43.23,0.3,4.54,0.0,59.98,0.0,1,1
30.28,0.64,12.24,0.0,56.96,1.0,0,0
15.78,0.37,18.67,0.0,46.29,0.0,0,0
36.1,0.21,3.38,1.0,24.68,1.0,0,0
29.6,0.45,14.32,1.0,44.0,0.0,0,0
52.84,0.48,6.85,0.0,47.27,0.0,0,0
19.79,0.23,12.79,0.0,31.2,0.0,1,1
31.35,0.07,16.75,1.0,21.91,1.0,0,1
30.07,0.25,3.07,0.0,34.32,1.0,0,0
52.34,0.16,0.59,1.0,41.47,0.0,1,1
29.91,0.27,15.33,0.0,25.63,0.0,1,1
23.12,0.24,24.41,0.0,55.46,1.0,0,1
17.4,0.27,27.06,0.0,35.21,0.0,1,1
10.0,0.19,4.7,0.0,68.86,1.0,0,0
17.89,0.07,7.08,0.0,39.1,0.0,1,1
64.09,0.24,13.3,0.0,40.46,0.0,1,1
35.2,0.23,20.97,0.0,20.15,0.0,1,1
21.43,0.56,4.75,0.0,47.14,1.0,0,0
20.71,0.45,13.82,0.0,27.22,1.0,0,0
10.0,0.19,5.9,0.0,20.31,1.0,0,0
24.53,0.58,5.62,0.0,28.78,1.0,0,0
52.34,0.55,2.02,0.0,32.16,0.0,0,0
19.43,0.18,18.22,0.0,60.44,0.0,1,1
52.98,0.23,8.8,0.0,38.9,0.0,1,1
51.75,0.33,6.37,2.0,57.22,1.0,0,0
24.96,0.18,14.95,0.0,61.07,1.0,0,0
44.72,0.38,5.28,0.0,27.08,0.0,0,0
26.55,0.14,12.43,0.0,52.96,1.0,0,1
54.36,0.22,6.39,0.0,31.97,1.0,0,1
44.61,0.41,11.02,1.0,59.29,0.0,0,0
22.08,0.08,18.33,0.0,44.64,1.0,1,1
59.5,0.46,7.18,0.0,18.0,0.0,1,1
27.67,0.3,4.71,1.0,54.16,0.0,0,0
29.97,0.28,6.52,0.0,39.17,0.0,0,0
16.62,0.42,9.37,0.0,54.68,0.0,0,0
22.0,0.39,4.65,2.0,24.03,0.0,0,0
35.19,0.21,5.81,2.0,19.34,0.0,0,0
11.68,0.29,0.64,0.0,26.26,1.0,0,0
23.54,0.33,2.55,0.0,44.61,1.0,0,0
36.76,0.28,9.5,0.0,32.64,0.0,1,1
22.88,0.57,2.48,1.0,27.5,1.0,0,0
20.9,0.8,9.18,0.0,32.35,0.0,0,0
53.94,0.27,7.08,1.0,52.04,0.0,0,0
32.95,0.19,6.36,0.0,28.66,0.0,1,1
29.18,0.17,3.85,0.0,29.6,1.0,0,1
28.59,0.5,6.89,1.0,46.69,1.0,0,0
17.55,0.29,7.16,0.0,21.96,0.0,0,0
12.29,0.22,4.99,0.0,43.96,1.0,0,0
28.88,0.74,2.91,1.0,55.82,1.0,0,0
83.23,0.25,11.84,0.0,34.31,0.0,1,1
42.27,0.45,8.47,0.0,53.15,0.0,1,1
54.34,0.1,3.58,0.0,27.53,1.0,1,1
15.41,0.4,6.88,0.0,27.65,1.0,0,0
49.75,0.47,8.42,0.0,41.23,0.0,0,0
53.34,0.34,3.75,0.0,47.98,0.0,1,1
20.7,0.13,9.35,0.0,47.36,0.0,1,1
54.65,0.48,10.81,1.0,51.33,0.0,0,0
36.98,0.23,9.1,0.0,60.41,1.0,1,1
15.25,0.28,8.67,0.0,40.92,1.0,0,0
44.08,0.3,11.88,0.0,45.24,0.0,1,1
76.77,0.1,11.05,1.0,59.7,0.0,1,1
25.71,0.34,17.46,0.0,35.31,1.0,0,0
15.35,0.26,6.36,0.0,41.64,1.0,0,0
22.85,0.41,5.28,0.0,65.52,0.0,0,0
43.43,0.1,7.07,2.0,33.55,0.0,0,0
21.35,0.1,7.5,0.0,37.84,1.0,0,1
30.13,0.64,4.77,0.0,43.13,0.0,0,0
13.94,0.21,5.97,1.0,39.82,1.0,0,0
65.51,0.35,11.0,0.0,25.17,0.0,1,1
35.38,0.13,2.99,0.0,59.77,0.0,0,0
81.02,0.13,5.69,0.0,25.65,0.0,1,1
20.27,0.17,3.75,0.0,68.59,1.0,0,0
29.01,0.12,12.22,0.0,41.7,0.0,1,1
21.59,0.2,2.96,0.0,27.2,1.0,0,0
29.84,0.23,13.73,1.0,53.29,1.0,0,0
17.98,0.37,6.63,2.0,37.24,1.0,0,0
39.95,0.07,15.3,0.0,64.72,0.0,1,1
33.25,0.45,9.0,0.0,61.95,1.0,0,0
29.3,0.14,10.23,1.0,54.57,0.0,0,0
45.54,0.48,21.45,0.0,37.82,1.0,0,1
33.27,0.2,9.28,0.0,53.38,0.0,1,1
57.32,0.17,9.54,1.0,49.36,0.0,1,1
29.85,0.3,14.0,1.0,47.89,1.0,0,0
15.8,0.19,2.96,1.0,43.93,0.0,0,0
63.45,0.21,14.84,0.0,62.6,0.0,1,1
59.99,0.56,9.75,1.0,45.97,0.0,0,0
37.23,0.26,7.79,0.0,39.23,0.0,1,1
105.92,0.42,7.1,0.0,25.15,0.0,1,1
30.47,0.3,6.17,0.0,21.84,0.0,0,0
46.44,0.5,16.35,0.0,42.55,0.0,1,1
